
userId,body
u001,'{"userId":"u001","name":"User 001", "email": "user001@social-net.com"}'
u061,'{"userId":"u061","name":"User 061", "email": "user061@social-net.com"}'
u062,'{"userId":"u062","name":"User 062", "email": "user062@social-net.com"}'
u063,'{"userId":"u063","name":"User 063", "email": "user063@social-net.com"}'
u064,'{"userId":"u064","name":"User 064", "email": "user064@social-net.com"}'
u065,'{"userId":"u065","name":"User 065", "email": "user065@social-net.com"}'
u066,'{"userId":"u066","name":"User 066", "email": "user066@social-net.com"}'
u067,'{"userId":"u067","name":"User 067", "email": "user067@social-net.com"}'
u068,'{"userId":"u068","name":"User 068", "email": "user068@social-net.com"}'
u069,'{"userId":"u069","name":"User 069", "email": "user069@social-net.com"}'
u070,'{"userId":"u070","name":"User 070", "email": "user070@social-net.com"}'
u071,'{"userId":"u071","name":"User 071", "email": "user071@social-net.com"}'
u072,'{"userId":"u072","name":"User 072", "email": "user072@social-net.com"}'
u073,'{"userId":"u073","name":"User 073", "email": "user073@social-net.com"}'
u074,'{"userId":"u074","name":"User 074", "email": "user074@social-net.com"}'
u075,'{"userId":"u075","name":"User 075", "email": "user075@social-net.com"}'
u076,'{"userId":"u076","name":"User 076", "email": "user076@social-net.com"}'
u077,'{"userId":"u077","name":"User 077", "email": "user077@social-net.com"}'
u078,'{"userId":"u078","name":"User 078", "email": "user078@social-net.com"}'
u079,'{"userId":"u079","name":"User 079", "email": "user079@social-net.com"}'
u080,'{"userId":"u080","name":"User 080", "email": "user080@social-net.com"}'
u081,'{"userId":"u081","name":"User 081", "email": "user081@social-net.com"}'
u082,'{"userId":"u082","name":"User 082", "email": "user082@social-net.com"}'
u083,'{"userId":"u083","name":"User 083", "email": "user083@social-net.com"}'
u084,'{"userId":"u084","name":"User 084", "email": "user084@social-net.com"}'
u085,'{"userId":"u085","name":"User 085", "email": "user085@social-net.com"}'
u086,'{"userId":"u086","name":"User 086", "email": "user086@social-net.com"}'
u087,'{"userId":"u087","name":"User 087", "email": "user087@social-net.com"}'
u088,'{"userId":"u088","name":"User 088", "email": "user088@social-net.com"}'
u089,'{"userId":"u089","name":"User 089", "email": "user089@social-net.com"}'
u090,'{"userId":"u090","name":"User 090", "email": "user090@social-net.com"}'
u091,'{"userId":"u091","name":"User 091", "email": "user091@social-net.com"}'
u092,'{"userId":"u092","name":"User 092", "email": "user092@social-net.com"}'
u093,'{"userId":"u093","name":"User 093", "email": "user093@social-net.com"}'
u094,'{"userId":"u094","name":"User 094", "email": "user094@social-net.com"}'
u095,'{"userId":"u095","name":"User 095", "email": "user095@social-net.com"}'
u096,'{"userId":"u096","name":"User 096", "email": "user096@social-net.com"}'
u097,'{"userId":"u097","name":"User 097", "email": "user097@social-net.com"}'
u098,'{"userId":"u098","name":"User 098", "email": "user098@social-net.com"}'
u099,'{"userId":"u099","name":"User 099", "email": "user099@social-net.com"}'
u100,'{"userId":"u100","name":"User 100", "email": "user100@social-net.com"}'
